division,date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,race_id
region,2022-11-28,14:40発走,水沢,9,4,アメリカンポーロ,54.513496990828806,4.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,7,ロードアルバータ,52.684318507863566,5.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,9,ジュンケンジー,52.63699374596622,6.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,3,サンエイマジック,48.86847876765647,7.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,12,ソレンニータ,48.38983289413604,8.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,1,マイネルスキーブ,46.636920063906146,9.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,11,ドンナフォルテ,44.13135194581149,10.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,6,ブライティアセルバ,35.59697102498339,11.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,8,ミヤジオシャラク,32.63460799560033,12.0,,202236112809
region,2022-11-28,14:50発走,笠松,7,5,ウインドエラ,62.804062553919636,1.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,8,キュアノス,55.07699421469023,2.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,2,フーレドロール,55.01802094325861,3.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,4,ダンディゴッホ,53.920021258526646,4.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,3,メイプルスター,47.81366895237471,5.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,6,ワイルドジャーニー,45.66936519481763,6.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,7,スプリングムーン,41.08330601945384,7.0,,202247112807
region,2022-11-28,14:50発走,笠松,7,1,フカイ,38.614560862958854,8.0,,202247112807
region,2022-11-28,15:05発走,金沢,8,6,ダニューブ,61.440713165744654,1.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,5,ダイチヴィット,60.7137145876079,2.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,1,ロバリアスピード,57.27495332004632,3.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,3,ロングテール,52.3087356295283,4.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,2,セイカアーナンダイ,47.16481758186218,5.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,8,ハートリープ,45.605048111933854,6.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,7,ナタラディーヴァ,42.03666178573531,7.0,,202246112808
region,2022-11-28,15:05発走,金沢,8,4,エースアクシス,33.455355817541474,8.0,,202246112808
region,2022-11-28,15:10発走,船橋,2,9,カフェクロニクル,70.50717548310709,1.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,8,マーシグッドラック,60.7966956847294,2.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,5,ノボマジック,57.79266923384964,3.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,7,レイバックターン,57.019806405873,4.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,10,ツインレイ,50.4185701828752,5.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,2,デルマアメミット,48.52458534570886,6.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,3,ブエノスアン,46.96284238618085,7.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,6,シラセ,46.09273018116456,8.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,12,トゥルーブルー,44.52693187026939,9.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,4,スプリームメロディ,39.55036339016882,10.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,11,ピンクフリオーソ,39.002300249920395,11.0,,202243112802
region,2022-11-28,15:10発走,船橋,2,1,フラッシュサンダー,38.805329586152865,12.0,,202243112802
region,2022-11-28,15:15発走,水沢,10,1,ベアーザベル,66.01155589325853,1.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,5,ハニーコーン,61.24899286125769,2.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,2,モレッキ,54.19370906370354,3.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,9,ミヤコプレジール,51.529328625075465,4.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,4,タニオブスカイ,51.03375430126249,5.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,8,ウインアライバル,50.79577779465602,6.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,12,ボウトロイ,50.64864885816551,7.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,10,メイショウカミシマ,47.62328614067874,8.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,7,オオサキフラワー,47.264473223377244,9.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,11,ピースワンパルフェ,47.2062071370447,10.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,6,ダコタブラックヒル,41.235666232312184,11.0,,202236112810
region,2022-11-28,15:15発走,水沢,10,3,エイシンクリーオス,31.208599869207603,12.0,,202236112810
region,2022-11-28,15:25発走,笠松,8,3,ルーラーザクイーン,67.7238581193833,1.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,4,ゼロワンタイガー,58.00872617229288,2.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,1,カレンブルーローズ,56.282827902669425,3.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,2,ガビーズドリーム,50.034440536220934,4.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,8,パルスレート,43.926203956062935,5.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,5,マイネルケイローン,43.912773809827975,6.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,6,サンシエ,41.26010117598355,7.0,,202247112808
region,2022-11-28,15:25発走,笠松,8,7,アシタノカゼ,38.85106832755922,8.0,,202247112808
region,2022-11-28,15:50発走,水沢,11,6,アサップ,60.9618281162124,1.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,1,ケープライト,58.736099318885806,2.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,3,キタノムホウ,55.98636690403207,3.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,4,ラブバイオレット,52.86879349638541,4.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,9,エムティウイン,50.599972661395725,5.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,8,リュウノマスタング,49.7102406214177,6.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,2,セイレジーナ,41.53204441711229,7.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,5,ノートランプ,40.67429724156709,8.0,,202236112811
region,2022-11-28,15:50発走,水沢,11,7,マルケイヴェラ,38.9303572229921,9.0,,202236112811
region,2022-11-28,16:30発走,笠松,10,8,タマノフィオーレ,62.78570091523561,1.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,4,ナチュラル,60.32792736972269,2.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,5,アストロバローズ,56.88820036669771,3.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,7,ワイルドアイズ,54.087500301984186,4.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,6,シャイニーメイン,43.425541537842804,5.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,3,ヒルノマース,42.79338340037392,6.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,1,シンマイコ,41.27095747986597,7.0,,202247112810
region,2022-11-28,16:30発走,笠松,10,2,トビタマリー,38.42078862827702,8.0,,202247112810
region,2022-11-28,19:00発走,船橋,9,5,カミノホウオー,61.24459737593408,1.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,1,オマツサマ,61.239485996550144,2.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,10,イージーファクト,57.15084507220567,3.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,8,アンコールゲラン,57.09076829578299,4.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,4,ヴィスコンティ,52.00454826394532,5.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,9,レティクル,47.7831021083754,6.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,2,メーテル,47.03667243132654,7.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,7,ニッポンダエモン,44.073494089888996,8.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,6,バイザウェイ,39.54902812020216,9.0,,202243112809
region,2022-11-28,19:00発走,船橋,9,3,ドリームプリンス,32.82745824578787,10.0,,202243112809
region,2022-11-28,20:10発走,船橋,11,3,トーキョーサバク,63.65263088929023,1.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,6,チャンプタイガー,58.23122396514965,2.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,8,フレイムウィングス,56.790967364421505,3.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,7,メイショウタニカゼ,56.263016555194454,4.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,2,マイブレイブ,54.06817228514564,5.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,5,キタサンヴィクター,46.99166351937902,6.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,10,マナホク,45.911555396858105,7.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,9,カンバンムスメ,45.4812948351083,8.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,1,フォルベルール,39.197912301334284,9.0,,202243112811
region,2022-11-28,20:10発走,船橋,11,4,オーケストラ,33.41156288811867,10.0,,202243112811
region,2022-11-28,20:50発走,船橋,12,9,ジーガーワールド,66.40596443525496,1.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,13,トノカンショウ,63.27817411225418,2.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,1,ファラウェイ,60.754010091504966,3.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,7,タンタシオン,58.27471316055026,4.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,3,リュウノレイリー,52.93895065958553,5.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,12,アスリエル,49.60722458871359,6.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,4,フジシラユキヒメ,47.04733923626189,7.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,10,ムーンドライヴ,44.03961112343589,8.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,5,ガニュメデスレイ,43.27320790780756,9.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,2,マオノジェット,41.840540499728164,10.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,6,プリマヴィータ,40.972644161003174,11.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,11,キングエド,40.91248037506031,12.0,,202243112812
region,2022-11-28,20:50発走,船橋,12,8,リュウノワシントン,40.65513964883819,13.0,,202243112812
region,2022-11-29,10:20発走,水沢,1,3,オイルマン,67.2299425534294,1.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,2,エスカペード,62.1887655227267,2.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,5,ビーバリスタ,56.70069808159413,3.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,11,スパイラルライズ,54.13618305928763,4.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,9,オペラムーン,50.82889935256948,5.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,7,サンライズフルメン,50.789025776452384,6.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,6,クラーラ,46.47799862183492,7.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,8,ライブスター,43.79668097160208,8.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,1,メルカデオ,42.930053706972075,9.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,4,ダンシングスター,41.40580753253689,10.0,,202236112901
region,2022-11-29,10:20発走,水沢,1,10,キャリアデザイン,33.51594482099441,11.0,,202236112901
region,2022-11-29,10:25発走,金沢,1,5,パールアゲイン,62.7144740552633,1.0,,202246112901
region,2022-11-29,10:25発走,金沢,1,1,ヴェルーリヤ,61.35481960101431,2.0,,202246112901
region,2022-11-29,10:25発走,金沢,1,6,サクセスソング,60.747380155524866,3.0,,202246112901
region,2022-11-29,10:25発走,金沢,1,7,サンウエストウッド,55.64023930282397,4.0,,202246112901
